Participant,Time to Receive,1
Participant2,629,630
Participant3,534,535
Participant4,570,571
Participant5,537,538
Participant2,16,17
Participant3,27,28
Participant4,34,35
Participant5,41,42
Participant2,10,11
Participant3,24,25
Participant4,37,38
Participant5,43,44
Participant2,12,13
Participant3,19,20
Participant4,28,29
Participant5,69,70
Participant2,11,12
Participant3,22,23
Participant4,24,25
Participant5,40,41
Participant2,15,16
Participant3,27,28
Participant4,26,27
Participant5,55,56
Participant2,15,16
Participant3,21,22
Participant4,25,26
Participant5,41,42
Participant2,18,19
Participant3,16,17
Participant4,31,32
Participant5,44,45
Participant2,12,13
Participant3,21,22
Participant4,31,32
Participant5,61,62
Participant2,23,24
Participant3,21,22
Participant4,34,35
Participant5,45,46
