Participant2,99552
Participant3,911
Participant4,514
Participant5,508
Participant2,24
Participant3,55
Participant4,39
Participant5,41
Participant2,11
Participant3,44
Participant4,29
Participant5,40
Participant2,18
Participant3,23
Participant4,25
Participant5,41
Participant2,11
Participant3,19
Participant4,82
Participant5,1349
Participant2,11
Participant3,300583
Participant4,22
Participant5,175
Participant2,50180
Participant3,152
Participant4,22
Participant5,31
Participant2,10
Participant3,21
Participant4,35
Participant5,31
Participant2,10
Participant3,22
Participant4,621
Participant5,30
Participant2,113
Participant3,13
Participant4,24
Participant5,39
Participant2,27
Participant3,24
Participant4,24
Participant5,533
